Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2017,"SDP",5954,0.077258985,0.25176352,0.306871247,0.233569828,0.298881735,0.393390589,0.692272324,0.159820761,0.286949473,604.1233175701673,-121.49383372001097,0.2975304581425053,81.84878360358162
2017,"SFG",6137,0.076095812,0.196187062,0.387873754,0.24896415,0.308712741,0.380471987,0.689184728,0.131507837,0.293608054,619.3696563984913,-128.54980236332003,0.29638774166352316,82.68551585432726
2018,"LAA",6108,0.084151931,0.212835625,0.395384615,0.241776315,0.313217448,0.413011695,0.726229143,0.17123538,0.277458093,709.2372359734455,-4.367359389694483,0.31327135957310304,97.76593161445174
2018,"BAL",6034,0.069937023,0.234007292,0.298866855,0.239150172,0.29828932,0.390956963,0.689246283,0.151806791,0.286402841,627.3114146632352,-77.6476764338812,0.2987656005121636,86.92749233794673
2018,"BOS",6302,0.090288797,0.198825769,0.454110135,0.268362084,0.338840349,0.453494575,0.792334924,0.185132491,0.309026128,865.0811816079953,128.81134533122577,0.3395622403396477,110.53103533699245
2018,"CHW",6071,0.070004941,0.26255971,0.266624843,0.241173275,0.301521667,0.401412275,0.702933942,0.160239,0.30431331,655.934035134923,-53.34780809520514,0.3039873088521521,91.72770399906695
2018,"CLE",6300,0.087936507,0.188730158,0.465937762,0.258623771,0.331739199,0.434316353,0.766055552,0.175692582,0.290741615,815.8216507567993,79.78547675748952,0.33030047978829197,105.54291180077493
2018,"DET",6029,0.070990213,0.222424946,0.319164802,0.241354204,0.300299301,0.379504914,0.679804215,0.13815071,0.293494332,608.8421342204097,-95.53280118305653,0.2953191283864129,82.72204662171112
2018,"KCR",6063,0.070427181,0.216064654,0.325954198,0.245231607,0.305348567,0.39164396,0.696992527,0.146412353,0.292892156,648.7852359825164,-59.56195813777157,0.3026665949342736,87.42212047182326
2018,"MIN",6154,0.08677283,0.215794605,0.402108433,0.249547593,0.31784841,0.404994571,0.722842981,0.155446978,0.298034398,711.1183057734304,-7.860521971292183,0.3131836229279857,95.83090280595901
2018,"NYY",6271,0.099665125,0.226598628,0.439831104,0.249138712,0.329180642,0.45149592,0.780676562,0.202357208,0.284868759,837.9130090928318,105.26493811669354,0.33525513369494525,111.8128603584207
2018,"OAK",6255,0.087929656,0.220783373,0.398262128,0.252195734,0.325332053,0.4391468,0.764478853,0.186951066,0.293897882,806.098702636138,75.31992987968053,0.32944876494137515,111.91879528591772
2018,"SEA",6087,0.070642352,0.200591424,0.352170352,0.254307999,0.314172447,0.408126247,0.722298694,0.153818248,0.294924224,700.1722024797325,-10.978938970076513,0.31264200700480593,99.85665781339686
2018,"TBR",6195,0.08716707,0.224051654,0.389048991,0.258447488,0.333441453,0.406392694,0.739834147,0.147945206,0.317281163,761.1559110176431,37.387006584988654,0.32223107482693336,106.63103320623136
2018,"TEX",6163,0.090053545,0.240791822,0.373989218,0.239867962,0.318270799,0.404181184,0.722451983,0.164313222,0.292465213,718.0728719772709,-1.9574360160220623,0.3145892829200119,88.58518281510369
2018,"TOR",6076,0.082126398,0.228275181,0.359769286,0.243929158,0.311810245,0.427058608,0.738868853,0.18312945,0.286189258,729.1350225560781,19.26902363229942,0.3185674838987493,99.6802567478785
2018,"ARI",6157,0.090953386,0.237128471,0.383561643,0.234981684,0.309792381,0.397435897,0.707228278,0.162454213,0.286120444,671.6739762508568,-47.65534491005583,0.30587244831678645,88.3313529913204
